"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","stable",1,1,"Blue",60,60.8353050688114
"Full","volatile",2,2,"Green",67.1562350591399,58.538357292045
"Full","volatile",3,3,"Green",70.093301761528,73.1933550573874
"Full","volatile",4,4,"Green",66.6370532652268,62.0448960610269
"Full","stable",5,5,"Blue",60,61.3916811808064
"Full","stable",6,6,"Blue",60,61.2836520680649
"Full","volatile",7,7,"Green",83.1002145099922,83.4074594048179
"Full","volatile",8,8,"Green",68.6876560852407,76.0341768350875
"Full","volatile",9,9,"Green",64.3388045590398,62.0749292460091
"Full","stable",10,10,"Blue",60,63.3168728693056
"Full","stable",11,11,"Blue",60,60.7618635713169
"Full","volatile",12,12,"Green",59.3050881004178,54.9961050346678
"Full","volatile",13,13,"Green",64.4004924153827,61.0460152285022
"Full","stable",14,14,"Blue",60,62.6647143348476
"Full","stable",15,15,"Blue",60,57.1310062501932
"Full","stable",16,16,"Blue",60,64.7009814657314
"Full","volatile",17,17,"Green",69.0349506615972,65.4798193826862
"Full","volatile",18,18,"Green",70.1386086735883,71.940062985254
"Full","stable",19,19,"Blue",60,63.179332309177
"Full","stable",20,20,"Blue",60,59.4364945424267
"Full","stable",21,21,"Blue",60,62.4459550906194
"Full","volatile",22,22,"Green",68.920768644215,66.7572779462986
"Full","volatile",23,23,"Green",69.681984722701,67.4436336672708
"Full","volatile",24,24,"Green",69.5376547751306,65.1702761778113
"Full","volatile",25,25,"Green",65.8124828283247,67.2757845238994
"Full","stable",26,26,"Blue",60,62.274908944605
"Full","volatile",27,27,"Green",63.0887634006287,62.1503966596259
"Full","stable",28,28,"Blue",60,60.6760845910816
"Full","stable",29,29,"Blue",60,61.510256108368
"Full","stable",30,30,"Blue",60,62.4400395070099
"Full","volatile",31,31,"Green",56.3045505929274,57.2936435657826
"Full","volatile",32,32,"Green",61.5232203584573,58.7844073519204
"Full","volatile",33,33,"Green",60.7721083307028,66.8557261401475
"Full","stable",34,34,"Blue",60,63.1921139300861
"Full","stable",35,35,"Blue",60,62.487442090748
"Full","stable",36,36,"Blue",60,56.5728885109806
"Full","volatile",37,37,"Green",55.5011912979047,59.1451167372905
"Full","volatile",38,38,"Green",59.4945018006414,66.073747160644
"Full","stable",39,39,"Blue",60,63.5243756215136
"Full","stable",40,40,"Blue",60,62.2592968065496
"Partial","volatile",41,1,"Yellow",54.0390055625053,55.3964183672181
"Partial","stable",42,2,"Red",60,58.8313882093395
"Partial","stable",43,3,"Red",60,63.8994579901072
"Partial","volatile",44,4,"Yellow",57.8978143557593,55.3745641785285
"Partial","stable",45,5,"Red",60,58.3350439319934
"Partial","volatile",46,6,"Yellow",59.0321369690393,59.2501676222736
"Partial","stable",47,7,"Red",60,60.1247951741454
"Partial","stable",48,8,"Red",60,57.193708490595
"Partial","volatile",49,9,"Yellow",56.4104541554217,54.7779564782933
"Partial","volatile",50,10,"Yellow",59.6284986776919,62.1119148229222
"Partial","volatile",51,11,"Yellow",54.7785937444527,61.8350636095265
"Partial","volatile",52,12,"Yellow",55.6716036725627,56.2956959618846
"Partial","stable",53,13,"Red",60,61.1028138972983
"Partial","volatile",54,14,"Yellow",59.4902035786103,54.5721472828265
