"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","volatile",1,1,"Green",68.1991621494137,69.5056685153781
"Full","volatile",2,2,"Green",68.356206700924,67.8026308050033
"Full","stable",3,3,"Blue",60,58.2993650692066
"Full","stable",4,4,"Blue",60,61.5861987058903
"Full","volatile",5,5,"Green",64.3464322912887,63.3359421764878
"Full","volatile",6,6,"Green",56.8176417572194,55.1825965868216
"Full","volatile",7,7,"Green",43.8499077058063,39.3790481790868
"Full","volatile",8,8,"Green",43.8376825260154,44.4677050382262
"Full","stable",9,9,"Blue",60,60.8455964066323
"Full","stable",10,10,"Blue",60,63.0746253589964
"Full","stable",11,11,"Blue",60,57.1069872107908
"Full","volatile",12,12,"Green",41.6065335139106,39.4435125477413
"Full","volatile",13,13,"Green",55.2671484626832,56.7195202176647
"Full","stable",14,14,"Blue",60,57.4458943030686
"Full","volatile",15,15,"Green",65.9558280071949,62.2789474390261
"Full","volatile",16,16,"Green",69.5102816707987,74.3078738925277
"Full","volatile",17,17,"Green",73.0646417026885,80.8137079101781
"Full","volatile",18,18,"Green",77.4955521887414,78.0821915127054
"Full","volatile",19,19,"Green",83.6716530905983,83.2875878031042
"Full","volatile",20,20,"Green",89.3566817565562,82.0849284431524
"Full","stable",21,21,"Blue",60,57.3724673077135
"Full","stable",22,22,"Blue",60,59.8422298151535
"Full","volatile",23,23,"Green",81.9222295657979,80.3398861609977
"Full","volatile",24,24,"Green",85.8647869472585,88.2894516248818
"Full","volatile",25,25,"Green",68.4195061886109,63.4677645135998
"Full","volatile",26,26,"Green",75.9794327779103,78.3173248192261
"Full","stable",27,27,"Blue",60,61.7274157958515
"Full","stable",28,28,"Blue",60,54.0353483124994
"Full","stable",29,29,"Blue",60,58.0493956433213
"Full","stable",30,30,"Blue",60,62.0642654731087
"Full","stable",31,31,"Blue",60,58.0862110930701
"Full","volatile",32,32,"Green",65.5505800107456,67.3881039181037
"Full","stable",33,33,"Blue",60,53.9560648458471
"Full","stable",34,34,"Blue",60,63.9976061664054
"Full","stable",35,35,"Blue",60,56.3598588350017
"Full","stable",36,36,"Blue",60,53.4985422653586
"Full","volatile",37,37,"Green",81.515471531507,81.5123164152743
"Full","stable",38,38,"Blue",60,58.9151536354137
"Full","stable",39,39,"Blue",60,58.8417905906776
"Full","stable",40,40,"Blue",60,58.1467973260897
"Partial","stable",41,1,"Red",60,61.7818812207247
"Partial","stable",42,2,"Red",60,57.8285140533423
"Partial","stable",43,3,"Red",60,59.5190181825777
"Partial","volatile",44,4,"Yellow",55.9589816535187,59.4479964873037
"Partial","stable",45,5,"Red",60,58.0699749643689
"Partial","volatile",46,6,"Yellow",63.5760510398441,64.2825246425116
"Partial","stable",47,7,"Red",60,57.0448149904656
"Partial","stable",48,8,"Red",60,57.6583237110001
"Partial","volatile",49,9,"Yellow",70.1840970709122,71.7877284157221
"Partial","stable",50,10,"Red",60,64.7048994792572
"Partial","stable",51,11,"Red",60,62.4442711499288
"Partial","volatile",52,12,"Yellow",61.8263690730109,58.07006305504
"Partial","stable",53,13,"Red",60,57.8534500849706
"Partial","volatile",54,14,"Yellow",58.0637268754993,55.0143491080909
"Partial","volatile",55,15,"Yellow",48.3314222688424,53.074976936634
"Partial","stable",56,16,"Red",60,61.1038163497418
"Partial","stable",57,17,"Red",60,57.56489903824
"Partial","volatile",58,18,"Yellow",48.2640666951427,47.674276554089
"Partial","volatile",59,19,"Yellow",43.0427601181204,46.3640929653186
"Partial","stable",60,20,"Red",60,67.7789051140474
"Partial","volatile",61,21,"Yellow",50.0133133645922,50.2298643351546
"Partial","stable",62,22,"Red",60,63.9244037533759
"Partial","stable",63,23,"Red",60,62.2411314952496
"Partial","stable",64,24,"Red",60,60.2929441937701
"Partial","volatile",65,25,"Yellow",40.641776099679,37.6405818239135
"Partial","volatile",66,26,"Yellow",39.7498671876178,45.0211322025025
"Partial","stable",67,27,"Red",60,60.2359903837546
"Partial","volatile",68,28,"Yellow",37.7605126300058,37.6848512020462
"Partial","stable",69,29,"Red",60,58.5038382103008
"Partial","stable",70,30,"Red",60,59.7571552079192
"Partial","volatile",71,31,"Yellow",48.3344483730994,54.6313472566819
"Partial","volatile",72,32,"Yellow",52.829014337125,52.0868486791895
"Partial","volatile",73,33,"Yellow",48.4330046606323,48.3935780983185
"Partial","volatile",74,34,"Yellow",41.2404372563268,40.0706645522834
"Partial","stable",75,35,"Red",60,57.487608209185
"Partial","volatile",76,36,"Yellow",41.7892964213068,44.5831662402805
"Partial","volatile",77,37,"Yellow",47.6955342346784,46.636296955613
"Partial","volatile",78,38,"Yellow",50.7174929567187,49.9170784693159
"Partial","volatile",79,39,"Yellow",50.7979375778036,44.6082777855046
"Partial","stable",80,40,"Red",60,62.9849848457108
"None","volatile",81,1,"Purple",41.6663228157565,40.8683708041513
"None","stable",82,2,"Orange",60,61.5588348009919
"None","volatile",83,3,"Purple",31.4349807081828,33.4835610642863
"None","volatile",84,4,"Purple",35.2359654182495,33.0337407734953
"None","stable",85,5,"Orange",60,63.1277810600291
"None","stable",86,6,"Orange",60,61.0363379237299
"None","volatile",87,7,"Purple",39.9074507642058,35.1631155992797
"None","volatile",88,8,"Purple",33.4274269166039,38.1503172238076
"None","volatile",89,9,"Purple",32.4770680084583,40.2589502819226
"None","volatile",90,10,"Purple",29.5793484187762,31.8033849092444
"None","stable",91,11,"Orange",60,54.6080734025328
