"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","stable",1,1,"Blue",60,64.1963123588388
"Full","stable",2,2,"Blue",60,61.1154084212171
"Full","volatile",3,3,"Green",54.9531581391605,54.9238890860163
"Full","stable",4,4,"Blue",60,58.0139862463713
"Full","stable",5,5,"Blue",60,57.3081801615661
"Full","stable",6,6,"Blue",60,61.630791879182
"Full","volatile",7,7,"Green",58.7925417457621,55.915845802574
"Full","volatile",8,8,"Green",62.0873012229502,62.0073447049397
"Full","stable",9,9,"Blue",60,63.2052264117297
"Full","stable",10,10,"Blue",60,61.6150270374623
"Full","volatile",11,11,"Green",64.9762898628274,67.8531982409145
"Full","volatile",12,12,"Green",63.8337204507314,67.4685903157083
"Full","volatile",13,13,"Green",56.8940427565843,52.3793542188496
"Full","volatile",14,14,"Green",54.9494612190057,52.8602943382817
"Full","volatile",15,15,"Green",58.3315296140779,58.2977935251679
"Full","stable",16,16,"Blue",60,57.9703161547946
"Full","stable",17,17,"Blue",60,56.5084189003324
"Full","stable",18,18,"Blue",60,58.6230640193726
"Full","volatile",19,19,"Green",55.0544479740739,54.9561585532779
"Full","stable",20,20,"Blue",60,58.2475135615012
"Full","stable",21,21,"Blue",60,57.7413995550029
"Full","stable",22,22,"Blue",60,60.415595775358
"Full","stable",23,23,"Blue",60,59.7552662648363
"Full","volatile",24,24,"Green",57.3898208620438,55.6247577679399
"Full","volatile",25,25,"Green",53.7208060059518,54.6791909455206
"Full","volatile",26,26,"Green",49.0310909414915,50.1001290800102
"Full","stable",27,27,"Blue",60,53.7856705102082
"Full","volatile",28,28,"Green",42.4560416179522,46.7003811721845
"Full","volatile",29,29,"Green",38.9909669374643,40.234195387724
"Full","volatile",30,30,"Green",33.9735273354726,33.3520792038823
"Full","volatile",31,31,"Green",34.2858881566926,33.0804162380506
"Full","volatile",32,32,"Green",22.3869206889538,18.4185982908869
"Full","stable",33,33,"Blue",60,65.7331322232677
"Full","stable",34,34,"Blue",60,57.4125165053261
"Full","volatile",35,35,"Green",11.6244869734111,9.61078871182594
"Full","volatile",36,36,"Green",1.19922766645451,4.33058063347288
"Full","stable",37,37,"Blue",60,62.2453447864537
"Full","stable",38,38,"Blue",60,62.775074073923
"Full","volatile",39,39,"Green",2.16476734081573,1.88714537885198
"Full","stable",40,40,"Blue",60,56.9296296740977
"Partial","volatile",41,1,"Yellow",44.7257292516199,39.7581251829263
"Partial","stable",42,2,"Red",60,55.8473989484428
"Partial","volatile",43,3,"Yellow",50.4573367025355,52.0348072420259
"Partial","volatile",44,4,"Yellow",48.7478784650828,42.6142599685911
"Partial","stable",45,5,"Red",60,64.3075569642195
"Partial","volatile",46,6,"Yellow",46.5965387509745,47.7077795620124
"Partial","stable",47,7,"Red",60,59.0373482120556
"Partial","stable",48,8,"Red",60,60.6287269065802
"Partial","stable",49,9,"Red",60,65.6194805827113
"Partial","volatile",50,10,"Yellow",49.0814419185383,49.8699385696415
"Partial","stable",51,11,"Red",60,61.0779900886541
"Partial","stable",52,12,"Red",60,59.5059488951128
"Partial","volatile",53,13,"Yellow",45.3029669962593,49.8543517578329
"Partial","volatile",54,14,"Yellow",50.2998679763251,44.7094042682135
"Partial","volatile",55,15,"Yellow",52.1012278030861,51.5244731656462
"Partial","volatile",56,16,"Yellow",59.9119623630736,61.1736553860431
"Partial","volatile",57,17,"Yellow",37.2806971534281,39.9522471239852
"Partial","stable",58,18,"Red",60,61.0869843136806
"Partial","volatile",59,19,"Yellow",40.8586227078632,40.0243074045564
"Partial","stable",60,20,"Red",60,59.2766049866242
"Partial","stable",61,21,"Red",60,56.5607426476838
"Partial","stable",62,22,"Red",60,59.6075725922289
"Partial","stable",63,23,"Red",60,58.5225371251302
"Partial","volatile",64,24,"Yellow",24.4668579783065,18.7212052802898
"Partial","stable",65,25,"Red",60,63.2772919639925
"Partial","volatile",66,26,"Yellow",31.2075621709704,35.2556045779927
"Partial","stable",67,27,"Red",60,55.229616171831
"Partial","volatile",68,28,"Yellow",23.1534139978154,25.5894166416228
"Partial","stable",69,29,"Red",60,62.7542939260751
"Partial","volatile",70,30,"Yellow",16.1300099700907,15.097740782744
"Partial","stable",71,31,"Red",60,63.5161418329439
"Partial","stable",72,32,"Red",60,58.4133425957993
"Partial","volatile",73,33,"Yellow",17.0453503139474,18.1359515008541
"Partial","stable",74,34,"Red",60,63.7308567644719
"Partial","volatile",75,35,"Yellow",22.7232882043979,19.0755795560382
"Partial","stable",76,36,"Red",60,61.5001510830884
"Partial","volatile",77,37,"Yellow",17.95311622542,17.8508871181352
"Partial","volatile",78,38,"Yellow",8.29918194187694,8.33649626931853
"Partial","volatile",79,39,"Yellow",7.54040900592333,10.7185837764365
"Partial","stable",80,40,"Red",60,62.4503740391739
"None","volatile",81,1,"Purple",70.3139582134113,66.4091991413651
"None","volatile",82,2,"Purple",79.4883864558937,76.0682870025831
"None","stable",83,3,"Orange",60,59.3945851177918
"None","volatile",84,4,"Purple",78.7578831526114,80.249544106736
"None","volatile",85,5,"Purple",76.5706085558199,76.0658192106584
