"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","volatile",1,1,"Green",75.6297836161614,75.0799636278369
"Full","volatile",2,2,"Green",73.3549879204375,75.0768217941267
"Full","stable",3,3,"Blue",60,63.883684465116
"Full","volatile",4,4,"Green",63.4794983967661,60.4635196834521
"Full","stable",5,5,"Blue",60,58.7460378296248
"Full","volatile",6,6,"Green",68.3191875725856,70.4457377638436
"Full","volatile",7,7,"Green",69.0271630009051,68.5925513830357
"Full","volatile",8,8,"Green",80.9970317150381,84.180681890189
"Full","stable",9,9,"Blue",60,56.685811810908
"Full","stable",10,10,"Blue",60,60.8784275153181
"Full","volatile",11,11,"Green",87.744683683529,87.2003261507496
"Full","volatile",12,12,"Green",87.4453497287616,84.2212823648475
"Full","volatile",13,13,"Green",90.1101148331832,91.7794252793544
"Full","volatile",14,14,"Green",82.0756470577419,78.9576810685799
"Full","stable",15,15,"Blue",60,63.7092693998757
"Full","stable",16,16,"Blue",60,58.6898281841993
"Full","volatile",17,17,"Green",82.0232271401917,86.0368842311758
"Full","stable",18,18,"Blue",60,58.7125167113806
"Full","volatile",19,19,"Green",83.5832091451991,86.0564737899837
"Full","stable",20,20,"Blue",60,58.6509827619132
"Full","stable",21,21,"Blue",60,63.5169461135893
"Full","stable",22,22,"Blue",60,62.616819017761
"Full","stable",23,23,"Blue",60,62.2090059171661
"Full","stable",24,24,"Blue",60,51.241254400295
"Full","stable",25,25,"Blue",60,60.6401300845727
"Full","volatile",26,26,"Green",94.5634977845974,91.356417268317
"Full","volatile",27,27,"Green",100.450743977767,101.233641047233
"Full","volatile",28,28,"Green",101.827039680451,99.3603286232579
"Full","stable",29,29,"Blue",60,59.1266768221558
"Full","stable",30,30,"Blue",60,59.9751187422929
"Full","volatile",31,31,"Green",104.457811428455,105.899004888834
"Full","stable",32,32,"Blue",60,62.3837720859657
"Full","volatile",33,33,"Green",104.658632996447,103.483140367595
"Full","volatile",34,34,"Green",92.9037439137985,93.0660330340428
"Full","stable",35,35,"Blue",60,50.7540723027098
"Full","volatile",36,36,"Green",82.3539012625966,79.6654656148553
"Full","stable",37,37,"Blue",60,57.3684053811507
"Full","stable",38,38,"Blue",60,57.311800564263
"Full","volatile",39,39,"Green",98.2076769343246,97.8105897473584
"Full","stable",40,40,"Blue",60,60.8138068232435
"Partial","stable",41,1,"Red",60,54.2105191284059
"Partial","stable",42,2,"Red",60,61.5704862984373
"Partial","stable",43,3,"Red",60,61.3539446212312
"Partial","volatile",44,4,"Yellow",72.3777415381593,73.523208582903
"Partial","stable",45,5,"Red",60,55.8779900050889
"Partial","stable",46,6,"Red",60,61.9620054415861
"Partial","volatile",47,7,"Yellow",64.5283481434826,67.4876058727979
"Partial","volatile",48,8,"Yellow",67.5514029168031,64.5203800657825
"Partial","volatile",49,9,"Yellow",68.2260180496206,62.3601115450718
"Partial","volatile",50,10,"Yellow",65.3379512003827,70.1036045985239
"Partial","volatile",51,11,"Yellow",58.5017447038253,61.752898782728
"Partial","stable",52,12,"Red",60,62.1679117913246
"Partial","volatile",53,13,"Yellow",60.7680182952903,63.445225941382
"Partial","volatile",54,14,"Yellow",64.8594663639646,65.2926920600213
"Partial","volatile",55,15,"Yellow",56.6014349579218,66.1861300541113
"Partial","stable",56,16,"Red",60,58.8582392501263
"Partial","stable",57,17,"Red",60,58.7012999922965
"Partial","stable",58,18,"Red",60,56.8047793439591
"Partial","volatile",59,19,"Yellow",66.1497532968856,65.1908254162434
"Partial","stable",60,20,"Red",60,58.1120961585977
"Partial","volatile",61,21,"Yellow",61.7753505567505,57.8275154967602
"Partial","stable",62,22,"Red",60,55.1910677095422
"Partial","volatile",63,23,"Yellow",59.4313478148846,55.550476558317
"Partial","stable",64,24,"Red",60,58.2978661262133
"Partial","stable",65,25,"Red",60,60.4053608961879
"Partial","volatile",66,26,"Yellow",66.0836909852158,68.6447339563436
"Partial","volatile",67,27,"Yellow",63.7848820604615,64.4185705674971
"Partial","volatile",68,28,"Yellow",62.6543349334476,57.2775750315034
"Partial","stable",69,29,"Red",60,57.9446449476439
"Partial","stable",70,30,"Red",60,55.3872816818701
"Partial","stable",71,31,"Red",60,55.7735776598358
"Partial","stable",72,32,"Red",60,66.4732650980579
"Partial","volatile",73,33,"Yellow",52.596660599139,59.2706122348738
"Partial","stable",74,34,"Red",60,63.7276260303521
"Partial","volatile",75,35,"Yellow",45.6011796271425,41.5287034563614
"Partial","volatile",76,36,"Yellow",46.0529242842368,49.3959936299817
"Partial","stable",77,37,"Red",60,61.2801158378947
"Partial","volatile",78,38,"Yellow",41.8605602113702,41.3638219989565
"Partial","volatile",79,39,"Yellow",35.6750596916331,40.2025232206672
"Partial","stable",80,40,"Red",60,59.8432169092371
"None","stable",81,1,"Orange",60,55.914780825874
"None","stable",82,2,"Orange",60,60.646023127018
"None","stable",83,3,"Orange",60,61.3711051954613
"None","stable",84,4,"Orange",60,58.862643161223
"None","volatile",85,5,"Purple",51.6149549378686,53.6682479938646
"None","stable",86,6,"Orange",60,62.334893590944
"None","volatile",87,7,"Purple",55.7951973653803,49.9735223537547
"None","stable",88,8,"Orange",60,61.282631713315
"None","volatile",89,9,"Purple",65.7612935926693,69.8012311353452
"None","volatile",90,10,"Purple",75.3086882202559,71.9331643044788
"None","stable",91,11,"Orange",60,55.8641211652749
"None","volatile",92,12,"Purple",74.2573584096885,76.9836560304496
"None","stable",93,13,"Orange",60,64.7534944193507
"None","stable",94,14,"Orange",60,58.8881661793065
"None","stable",95,15,"Orange",60,64.2680685708735
"None","volatile",96,16,"Purple",68.1697074305373,64.8735134406638
"None","volatile",97,17,"Purple",75.026885019881,70.6262035700879
"None","stable",98,18,"Orange",60,60.2073759010977
"None","volatile",99,19,"Purple",66.7293990910732,67.9173359655633
"None","volatile",100,20,"Purple",61.2952878829948,64.2857977109278
"None","stable",101,21,"Orange",60,59.1543734358383
"None","volatile",102,22,"Purple",68.6304962689264,69.9639424750233
"None","volatile",103,23,"Purple",68.5754833185029,67.4132611508791
"None","volatile",104,24,"Purple",67.3878707997469,70.7476817169798
"None","stable",105,25,"Orange",60,56.977178975321
"None","stable",106,26,"Orange",60,59.5788386629245
"None","stable",107,27,"Orange",60,56.9683825418823
"None","volatile",108,28,"Purple",66.7334345090802,64.8088464126163
"None","volatile",109,29,"Purple",82.1335006497865,82.836510260368
"None","stable",110,30,"Orange",60,58.2296823121875
"None","stable",111,31,"Orange",60,57.9706935114437
"None","volatile",112,32,"Purple",76.4698637405508,72.5472617971182
"None","volatile",113,33,"Purple",76.0705307581377,74.3864128983188
"None","volatile",114,34,"Purple",67.8101214648268,67.78224408376
"None","volatile",115,35,"Purple",65.3982693897926,68.1132409666011
"None","stable",116,36,"Orange",60,60.6350467110689
"None","stable",117,37,"Orange",60,66.2983923080601
"None","stable",118,38,"Orange",60,63.5677998800252
"None","volatile",119,39,"Purple",61.1960118732814,61.4373447395749
"None","volatile",120,40,"Purple",68.4998841870158,71.7077740059201
