"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","stable",1,1,"Blue",60,64.9496528010295
"Full","stable",2,2,"Blue",60,58.6229582335235
"Full","stable",3,3,"Blue",60,58.7616058653524
"Full","stable",4,4,"Blue",60,57.2897718733824
"Full","volatile",5,5,"Green",65.1797504313114,65.55829270653
"Full","stable",6,6,"Blue",60,59.8069447358751
"Full","volatile",7,7,"Green",64.0403573574386,63.6017001800564
"Full","volatile",8,8,"Green",54.7352153430526,54.3557396913228
"Full","volatile",9,9,"Green",52.892097407363,50.470043357458
"Full","stable",10,10,"Blue",60,61.1040620917017
"Full","stable",11,11,"Blue",60,57.4665643874494
"Full","volatile",12,12,"Green",48.9385843350961,50.2445707387783
"Full","volatile",13,13,"Green",55.4239916225615,58.5954769854666
"Full","stable",14,14,"Blue",60,59.6415308193504
"Full","volatile",15,15,"Green",55.8027292099736,55.9526072989722
"Full","volatile",16,16,"Green",62.5184596503309,60.8349817986583
"Full","volatile",17,17,"Green",65.3983716382083,67.6112506851057
"Full","volatile",18,18,"Green",65.1093397166882,60.8639105388213
"Full","stable",19,19,"Blue",60,66.9499251576491
"Full","volatile",20,20,"Green",50.0307755961464,48.6595650241275
"Full","volatile",21,21,"Green",65.1364167935205,62.2558002321347
"Full","volatile",22,22,"Green",54.0944378380831,53.8112680039782
"Full","stable",23,23,"Blue",60,57.0985927239436
"Full","stable",24,24,"Blue",60,61.8165926396929
"Full","volatile",25,25,"Green",58.2547393962875,55.787917972906
"Full","volatile",26,26,"Green",50.5923577839358,49.6003073976952
"Full","volatile",27,27,"Green",37.8952705095329,41.1135485542376
"Full","stable",28,28,"Blue",60,59.753787908623
"Full","volatile",29,29,"Green",42.2475447528206,46.8273356708191
"Full","stable",30,30,"Blue",60,60.5297324992638
"Full","stable",31,31,"Blue",60,58.3561672433993
"Full","stable",32,32,"Blue",60,58.1876068238121
"Full","stable",33,33,"Blue",60,64.3401385021079
