"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","stable",1,1,"Blue",60,59.3889953568273
"Full","volatile",2,2,"Green",65.7182504541223,67.202039764572
"Full","volatile",3,3,"Green",63.521817955955,65.0030281236719
"Full","stable",4,4,"Blue",60,53.3302566882527
"Full","volatile",5,5,"Green",69.423229040423,65.4160433923178
"Full","stable",6,6,"Blue",60,61.9078279258112
"Full","volatile",7,7,"Green",69.6581986869823,70.9545308645561
"Full","stable",8,8,"Blue",60,58.1119876673826
"Full","stable",9,9,"Blue",60,56.2180185130751
"Full","stable",10,10,"Blue",60,61.3163406575895
"Full","volatile",11,11,"Green",80.5380410923571,79.2711875159887
"Full","stable",12,12,"Blue",60,59.7815778669621
"Full","volatile",13,13,"Green",67.0576934700201,65.5563266910045
"Full","volatile",14,14,"Green",67.9041776885649,69.5442793992039
"Full","stable",15,15,"Blue",60,59.1113798721107
"Full","stable",16,16,"Blue",60,55.2654523240868
"Full","volatile",17,17,"Green",71.6629956801451,68.4292283540702
"Full","stable",18,18,"Blue",60,59.9578935848342
"Full","volatile",19,19,"Green",75.5121990947464,75.4020153367249
"Full","volatile",20,20,"Green",80.7510620294247,77.2951074475689
"Full","stable",21,21,"Blue",60,60.3707657507976
"Full","volatile",22,22,"Green",70.4120648463186,70.9360154459367
"Full","volatile",23,23,"Green",73.0628650056527,71.9330898481706
"Full","volatile",24,24,"Green",72.4286527775429,73.5793354694132
"Full","stable",25,25,"Blue",60,56.2743483728052
"Full","volatile",26,26,"Green",75.3949514318685,76.6675999460715
"Full","stable",27,27,"Blue",60,58.7784268440359
"Full","stable",28,28,"Blue",60,57.8608043179293
"Full","volatile",29,29,"Green",88.249038774707,91.9654536044294
"Full","volatile",30,30,"Green",84.570355692508,88.7571797291809
"Full","stable",31,31,"Blue",60,56.141001756059
"Full","stable",32,32,"Blue",60,59.4661835907136
"Full","volatile",33,33,"Green",83.8396484927911,79.7814231619402
"Full","volatile",34,34,"Green",87.9159297867362,89.557205040494
"Full","stable",35,35,"Blue",60,59.2361186600355
"Full","stable",36,36,"Blue",60,59.7617679220642
"Full","volatile",37,37,"Green",88.2886093395274,89.3568255615733
"Full","stable",38,38,"Blue",60,60.8471657526235
"Full","volatile",39,39,"Green",89.4349220439841,94.184654512647
"Full","stable",40,40,"Blue",60,61.0490128249743
"Partial","volatile",41,1,"Yellow",47.9757975863453,40.5170364035368
"Partial","volatile",42,2,"Yellow",41.9988627661589,47.321638880102
"Partial","stable",43,3,"Red",60,59.0965193738498
"Partial","stable",44,4,"Red",60,64.7202419155203
"Partial","stable",45,5,"Red",60,60.248031457662
"Partial","volatile",46,6,"Yellow",47.2114195838986,47.9883806512346
"Partial","volatile",47,7,"Yellow",48.5595813936167,49.091572207547
"Partial","stable",48,8,"Red",60,62.1183047642501
"Partial","volatile",49,9,"Yellow",47.2423453597143,51.9802933446567
"Partial","stable",50,10,"Red",60,61.1886695168918
"Partial","volatile",51,11,"Yellow",37.3962851716271,44.7806608818441
"Partial","stable",52,12,"Red",60,57.9477214098702
"Partial","volatile",53,13,"Yellow",40.7080510213412,39.9759678465441
"Partial","stable",54,14,"Red",60,55.3488324591594
"Partial","stable",55,15,"Red",60,63.4659946796955
"Partial","stable",56,16,"Red",60,62.1631455205202
"Partial","stable",57,17,"Red",60,62.9307420416205
"Partial","volatile",58,18,"Yellow",37.3164890610144,36.886071593428
"Partial","volatile",59,19,"Yellow",36.5875365746631,37.2341263673192
"Partial","stable",60,20,"Red",60,59.3439303103926
"Partial","stable",61,21,"Red",60,58.1378391821279
"Partial","volatile",62,22,"Yellow",39.360771750671,41.2062930568759
"Partial","stable",63,23,"Red",60,55.3164976295842
"Partial","stable",64,24,"Red",60,58.8848722111791
"Partial","stable",65,25,"Red",60,60.3224889734257
"Partial","stable",66,26,"Red",60,62.3879517436885
"Partial","volatile",67,27,"Yellow",39.8552052007431,41.9234247467972
"Partial","volatile",68,28,"Yellow",29.7525239902521,24.5863135489481
"Partial","volatile",69,29,"Yellow",31.6310992575006,32.8068003191667
"Partial","stable",70,30,"Red",60,59.4258087696222
"Partial","volatile",71,31,"Yellow",28.7439898018212,26.6694549270372
"Partial","volatile",72,32,"Yellow",17.9185484148117,17.5715985075169
"Partial","volatile",73,33,"Yellow",19.8874655773662,17.8401098035987
"Partial","volatile",74,34,"Yellow",21.2579116281506,23.1908061317025
"Partial","stable",75,35,"Red",60,62.2194270815078
"Partial","volatile",76,36,"Yellow",20.7881713130075,26.6540976351977
"Partial","stable",77,37,"Red",60,62.8899194056349
"Partial","volatile",78,38,"Yellow",18.4313754490615,18.6842501979315
"Partial","volatile",79,39,"Yellow",10.2973887383436,14.2939206370365
"Partial","stable",80,40,"Red",60,64.0742774857667
"None","stable",81,1,"Orange",60,59.9005927353009
"None","volatile",82,2,"Purple",63.537610184597,61.2007044126743
"None","stable",83,3,"Orange",60,59.3110070838449
"None","volatile",84,4,"Purple",51.6878308476841,51.1741963901727
"None","volatile",85,5,"Purple",57.7528590285858,53.0962826778807
"None","volatile",86,6,"Purple",51.540495629962,48.763894292718
"None","volatile",87,7,"Purple",44.5274754055177,50.1275059784365
"None","volatile",88,8,"Purple",48.7253296795848,53.6464610523639
"None","stable",89,9,"Orange",60,59.3179884613171
"None","volatile",90,10,"Purple",55.7708399800322,55.25945812947
"None","volatile",91,11,"Purple",50.3801408578237,49.1959109969098
"None","stable",92,12,"Orange",60,60.2690362151828
