"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","volatile",1,1,"Green",54.3044320746349,56.2172826366284
"Full","stable",2,2,"Blue",60,61.1251205077164
"Full","stable",3,3,"Blue",60,60.8915414764513
"Full","stable",4,4,"Blue",60,58.902773072568
"Full","volatile",5,5,"Green",50.0104026256282,51.8325401717844
"Full","stable",6,6,"Blue",60,60.457832028598
"Full","volatile",7,7,"Green",43.8451854618776,44.9101790989977
"Full","stable",8,8,"Blue",60,54.793421756525
"Full","volatile",9,9,"Green",41.2492324733121,39.1691747488677
"Full","stable",10,10,"Blue",60,62.9745865062587
"Full","stable",11,11,"Blue",60,58.0370793923178
"Full","stable",12,12,"Blue",60,67.0761154554048
"Full","volatile",13,13,"Green",36.500314874888,38.3836678989776
"Full","volatile",14,14,"Green",43.1119832500813,42.3550989272988
"Full","volatile",15,15,"Green",39.9874296233252,35.865149259132
"Full","volatile",16,16,"Green",34.0083713197582,32.0484247604837
"Full","stable",17,17,"Blue",60,61.3352068659617
"Full","volatile",18,18,"Green",26.6859087766977,24.0509196563356
"Full","volatile",19,19,"Green",27.1712109248095,27.3203588015818
"Full","stable",20,20,"Blue",60,60.7867511817952
"Full","stable",21,21,"Blue",60,65.0315075030059
"Full","stable",22,22,"Blue",60,59.2519034948509
"Full","stable",23,23,"Blue",60,60.5519195933608
"Full","volatile",24,24,"Green",29.2737512835532,31.0358290087608
"Full","volatile",25,25,"Green",30.9536214576827,31.7860965673124
"Full","volatile",26,26,"Green",27.6456438056968,27.694955370744
"Full","stable",27,27,"Blue",60,52.194541670331
"Full","volatile",28,28,"Green",37.4872894449767,40.092597098363
"Full","stable",29,29,"Blue",60,59.406070625613
"Full","volatile",30,30,"Green",29.977791596057,25.5880512550294
"Full","stable",31,31,"Blue",60,58.3318857596552
"Full","stable",32,32,"Blue",60,61.1250590924282
"Full","volatile",33,33,"Green",30.7419063167061,28.8607088706194
"Full","volatile",34,34,"Green",22.4657846140896,19.1884857899552
"Full","stable",35,35,"Blue",60,58.7278207991546
"Full","stable",36,36,"Blue",60,61.1688698511106
"Full","volatile",37,37,"Green",30.0654064108267,30.0316529339976
"Full","volatile",38,38,"Green",42.8254597151845,42.4537268056941
"Full","volatile",39,39,"Green",30.5027279151003,32.0151572975083
"Full","stable",40,40,"Blue",60,58.0943347742347
"Partial","volatile",41,1,"Yellow",56.9976622838676,61.3545084325308
"Partial","stable",42,2,"Red",60,59.2071351246749
"Partial","stable",43,3,"Red",60,61.6561819081914
"Partial","volatile",44,4,"Yellow",46.0427866022736,44.2452929046754
"Partial","stable",45,5,"Red",60,62.8495021992695
"Partial","stable",46,6,"Red",60,64.0191750788947
"Partial","volatile",47,7,"Yellow",45.601687915727,44.8374443869747
"Partial","volatile",48,8,"Yellow",40.198530316185,42.0354431318497
"Partial","stable",49,9,"Red",60,61.6563353995719
"Partial","volatile",50,10,"Yellow",37.623450026372,40.145025809264
"Partial","stable",51,11,"Red",60,63.2456857184798
"Partial","volatile",52,12,"Yellow",31.4580492498954,33.9722075374886
"Partial","volatile",53,13,"Yellow",44.6041711550572,43.3699053048428
"Partial","volatile",54,14,"Yellow",39.2261222553645,36.4172428878662
"Partial","stable",55,15,"Red",60,59.6143441532359
"Partial","stable",56,16,"Red",60,58.7946784985026
"Partial","stable",57,17,"Red",60,57.4567474339552
"Partial","stable",58,18,"Red",60,59.0379757952793
"Partial","stable",59,19,"Red",60,59.0542834039934
"Partial","volatile",60,20,"Yellow",35.3406160927783,34.2780956326893
"Partial","stable",61,21,"Red",60,66.552907729778
"Partial","stable",62,22,"Red",60,59.9399076120879
"Partial","volatile",63,23,"Yellow",35.9021176973026,40.7850296273731
"Partial","stable",64,24,"Red",60,61.1491335453425
"Partial","volatile",65,25,"Yellow",41.6137695537338,41.0284247643668
"Partial","volatile",66,26,"Yellow",37.1177573771021,43.8758709280864
"Partial","stable",67,27,"Red",60,62.3541169819025
"Partial","stable",68,28,"Red",60,56.8611464692066
"Partial","volatile",69,29,"Yellow",43.7018821157062,39.8025039113485
"Partial","stable",70,30,"Red",60,58.9639151821565
"Partial","stable",71,31,"Red",60,58.6068143821337
"Partial","volatile",72,32,"Yellow",47.22962086293,44.5941372064674
"Partial","volatile",73,33,"Yellow",59.5146437631111,57.0041132335438
"Partial","stable",74,34,"Red",60,63.2661834483695
"Partial","volatile",75,35,"Yellow",58.9005536014362,56.1344539657478
"Partial","volatile",76,36,"Yellow",62.5029872979151,62.8632935911941
"Partial","volatile",77,37,"Yellow",54.3438899107458,47.8900525239057
"Partial","volatile",78,38,"Yellow",61.5961686323877,59.3009734544318
"Partial","volatile",79,39,"Yellow",67.1513160785682,64.2430379371452
"Partial","stable",80,40,"Red",60,56.8376631092198
"None","volatile",81,1,"Purple",63.6742355394304,64.3044554608221
"None","volatile",82,2,"Purple",57.0797860749403,56.6402351066959
"None","volatile",83,3,"Purple",49.6376736414384,51.9638530415939
"None","volatile",84,4,"Purple",55.8146661333848,54.4646082609748
"None","volatile",85,5,"Purple",43.7516645534138,37.6666095918649
"None","stable",86,6,"Orange",60,60.1474746389736
"None","stable",87,7,"Orange",60,62.5338125261348
"None","stable",88,8,"Orange",60,60.4691635231899
"None","volatile",89,9,"Purple",42.6127000639279,38.6794433906627
"None","stable",90,10,"Orange",60,63.4331996443291
"None","stable",91,11,"Orange",60,58.3941251439347
"None","volatile",92,12,"Purple",44.2397886089472,50.097261727412
"None","volatile",93,13,"Purple",42.3171427257091,40.1148636038602
"None","stable",94,14,"Orange",60,59.4678704082065
"None","stable",95,15,"Orange",60,58.2170144663621
"None","volatile",96,16,"Purple",47.6419319195707,47.9817667225045
"None","stable",97,17,"Orange",60,62.6505072632426
"None","volatile",98,18,"Purple",45.9380307822145,44.9350945933619
"None","stable",99,19,"Orange",60,61.9191216844374
"None","volatile",100,20,"Purple",59.0176812490758,57.1663457176478
"None","stable",101,21,"Orange",60,60.4085862197561
"None","stable",102,22,"Orange",60,54.9710671162222
"None","stable",103,23,"Orange",60,61.5745553084849
"None","stable",104,24,"Orange",60,60.392968867279
"None","volatile",105,25,"Purple",57.6249299349539,53.2800767771655
"None","stable",106,26,"Orange",60,54.8212019939548
"None","volatile",107,27,"Purple",61.0120356652224,62.7918875790085
