"condition","airship_type","trial_number","trial_in_condition","colour","true_mean","outcome"
"Full","volatile",1,1,"Green",54.9119210034272,63.0828091377456
"Full","volatile",2,2,"Green",53.2007243334014,56.9817401859933
"Full","volatile",3,3,"Green",56.7949081206336,61.0531957887053
"Full","volatile",4,4,"Green",59.0361273569457,61.9564103770393
"Full","volatile",5,5,"Green",58.8625588375446,59.7619293605407
"Full","volatile",6,6,"Green",64.1237111913985,60.3574091610643
"Full","stable",7,7,"Blue",60,54.8597524908342
"Full","volatile",8,8,"Green",58.3761024071903,54.5043833127394
"Full","stable",9,9,"Blue",60,55.769411996956
"Full","stable",10,10,"Blue",60,53.1957301581799
"Full","stable",11,11,"Blue",60,55.9352294647302
"Full","volatile",12,12,"Green",66.2550193224589,69.7371065772661
"Full","volatile",13,13,"Green",68.5506537512067,64.583029915127
"Full","stable",14,14,"Blue",60,59.7262997050862
"Full","volatile",15,15,"Green",66.4614353142302,64.9432942556829
"Full","volatile",16,16,"Green",74.0747468308347,70.0154252703003
"Full","volatile",17,17,"Green",80.5517691109633,78.1907574457092
"Full","stable",18,18,"Blue",60,55.6478115879905
"Full","stable",19,19,"Blue",60,62.7088555369361
"Full","stable",20,20,"Blue",60,57.5564333855747
"Full","stable",21,21,"Blue",60,64.7504037024459
"Full","volatile",22,22,"Green",71.5685804021022,70.8997647797676
"Full","stable",23,23,"Blue",60,61.9899760876452
"Full","volatile",24,24,"Green",66.2431417804323,64.784922320973
"Full","volatile",25,25,"Green",84.2540795772751,84.7465971010675
"Full","volatile",26,26,"Green",93.3092957300378,94.3717579642429
"Full","volatile",27,27,"Green",92.0783908381408,95.0040859871222
"Full","stable",28,28,"Blue",60,61.2327667632191
"Full","stable",29,29,"Blue",60,61.2594980558001
"Full","volatile",30,30,"Green",94.5258041420028,96.2450997312864
"Full","stable",31,31,"Blue",60,61.9678701491252
"Full","volatile",32,32,"Green",93.7793820222503,91.0491673761419
"Full","volatile",33,33,"Green",97.6996125180706,101.47991041573
"Full","stable",34,34,"Blue",60,52.6431625447894
"Full","stable",35,35,"Blue",60,61.8199154916612
"Full","stable",36,36,"Blue",60,55.3003399673175
"Full","stable",37,37,"Blue",60,60.0551529970944
"Full","stable",38,38,"Blue",60,63.2762721688625
"Full","stable",39,39,"Blue",60,54.9961993078114
"Full","stable",40,40,"Blue",60,62.0473511324775
"Partial","volatile",41,1,"Yellow",66.4742379232095,65.0465872040236
"Partial","volatile",42,2,"Yellow",66.5820197862389,71.7122298569956
"Partial","volatile",43,3,"Yellow",67.1040012586466,66.4675094365032
"Partial","stable",44,4,"Red",60,58.5877160853493
"Partial","stable",45,5,"Red",60,58.0730816025385
"Partial","volatile",46,6,"Yellow",66.342103729497,64.2479167486775
"Partial","volatile",47,7,"Yellow",65.3163415388383,66.7234445416177
"Partial","stable",48,8,"Red",60,58.6209056719038
"Partial","stable",49,9,"Red",60,57.3779400392557
"Partial","stable",50,10,"Red",60,62.0919545921562
"Partial","stable",51,11,"Red",60,64.2006851485449
"Partial","stable",52,12,"Red",60,63.5895800712484
"Partial","stable",53,13,"Red",60,66.6528034744235
"Partial","volatile",54,14,"Yellow",69.8968504281458,70.1867149885083
"Partial","volatile",55,15,"Yellow",81.8609551529552,79.4809608718379
"Partial","stable",56,16,"Red",60,60.8366291147663
"Partial","volatile",57,17,"Yellow",76.2931208279867,82.41445294362
"Partial","volatile",58,18,"Yellow",63.7957720663691,62.3468450696593
"Partial","stable",59,19,"Red",60,62.8449328899321
"Partial","volatile",60,20,"Yellow",62.2105018663574,66.9167316623228
"Partial","stable",61,21,"Red",60,53.0135331252038
"Partial","volatile",62,22,"Yellow",71.8426172399617,71.7883437978868
"Partial","volatile",63,23,"Yellow",64.9558473058226,64.9921601083942
"Partial","stable",64,24,"Red",60,59.6950858657772
"Partial","volatile",65,25,"Yellow",55.0335633533593,59.2299015824465
"Partial","volatile",66,26,"Yellow",57.9361570082843,61.1434526425376
"Partial","stable",67,27,"Red",60,59.5711376115753
